Date,Open,High,Low,Close,Adj Close,Volume
2008-11-10,4.150000,4.161667,3.584167,3.704167,2.870160,5785200
2008-11-11,3.541667,3.687500,3.291667,3.459167,2.680323,11479200
2008-11-12,3.327500,3.327500,3.017500,3.074167,2.382007,13312800
2008-11-13,3.051667,3.533333,2.564167,3.518333,2.726167,32067600
2008-11-14,3.270833,3.583333,3.041667,3.067500,2.376842,34303200
2008-11-17,2.956667,3.170833,2.833333,2.850833,2.208958,44524800
2008-11-18,2.836667,2.995000,2.595833,2.876667,2.228975,61130400
2008-11-19,2.875000,2.970833,2.366667,2.413333,1.869963,75193200
2008-11-20,2.324167,2.497500,1.846667,1.996667,1.547110,137044800
2008-11-21,2.266667,2.270000,1.805833,2.222500,1.722096,124576800
2008-11-24,2.371667,2.797500,2.316667,2.597500,2.012664,98185200
2008-11-25,2.834167,2.845833,2.525000,2.742500,2.125016,80054400
2008-11-26,2.587500,3.045000,2.575833,3.028333,2.346493,61237200
2008-11-28,2.991667,3.125000,2.979167,3.118333,2.416229,21645600
2008-12-01,2.872500,2.881667,2.281667,2.308333,1.788604,101854800
2008-12-02,2.423333,2.573333,2.310000,2.552500,1.977795,109262400
2008-12-03,2.388333,2.786667,2.366667,2.744167,2.126308,136166400
2008-12-04,2.645833,2.825833,2.403333,2.525000,1.956487,109459200
2008-12-05,2.415000,2.816667,2.283333,2.781667,2.155364,167187600
2008-12-08,3.033333,3.206667,2.974167,3.091667,2.395567,142784400
2008-12-09,3.012500,3.204167,2.879167,2.917500,2.260614,126266400
2008-12-10,3.018333,3.119167,2.895833,3.009167,2.331642,125726400
2008-12-11,2.954167,3.097500,2.721667,2.786667,2.159239,113610000
2008-12-12,2.543333,2.885000,2.516667,2.860833,2.216706,142026000
2008-12-15,2.903333,2.916667,2.630833,2.738333,2.121787,91215600
2008-12-16,2.819167,3.157500,2.810833,3.155833,2.445286,121978800
2008-12-17,3.050833,3.229167,2.984167,3.075000,2.386812,118600800
2008-12-18,3.119167,3.140833,2.796667,2.905000,2.254859,94359600
2008-12-19,2.942500,3.075833,2.858333,2.899167,2.250330,97183200
2008-12-22,2.910000,2.916667,2.603333,2.766667,2.147484,76341600
2008-12-23,2.798333,2.835833,2.648333,2.679167,2.079566,68952000
2008-12-24,2.713333,2.736667,2.656667,2.710833,2.104147,17952000
2008-12-26,2.772500,2.778333,2.705000,2.767500,2.148131,19194000
2008-12-29,2.787500,2.787500,2.620000,2.750000,2.134547,46562400
2008-12-30,2.795833,2.935833,2.754167,2.932500,2.276204,57126000
